Bene	Good, fine
Male	Bad
Piú e meno	More less
Buon giorno	Good day, good morning
Buon pomeriggio	Good afternoon
Buona sera	Good evening
Buona note	Good night
Casa	House
Donna	Woman
Scuola	School
Tavola	Table
Libro	Book
Notte	Night
Chiave	Key
Coltello	Knife
Mela	Apple
Specchio	Mirror
Fiore	Flower
Finestra	Window
Ragazza	Young woman / girlfriend
Ragazzo	Young boy / boyfriend
Lingua	Language
Anche	Either, also
Neanche	Neither
Mi piace	I like
Mi dispiace	I’m sorry
Ci vediamo	See you soon
Cucinare	To cook
Chiamare	To call
Primo	First
Secondo	Second
Qui	Here
Qua	There
Ecco, Ecco qui, Ecco qua	Here you go, here you have
Conto	Check
Con	With
Senza	Without
Quello	That
Prego	Welcome, how can I help you, after you, tell me, here you go
Altro	Other
Cosa	Thing
Ogni	Each
Viaggare	To travel
Abitare, vivere	To live
Per	For
Ordinare	To order
Invece	Instead
Tedeschi	German
É	Is
E	And
Ma	But
Sposato	Married
Moglie	Wife
Figli	Kids
Sposata	Married
Alta	Tall
Appuntamento	Appointment
Lavoro	Job
Negozio	Business, store
Questa	This
Quella	That
Vicino	Close, near
Forse	Maybe
Piú	Pen
Cane	Dog
Figlio	Son, child
Stanco	Tired
Annoiato	Bored
Noioso	Annoying
Giovane	Young
Che	Than, what
Il conto	The check
Prendere	To take, to grab
Per prendere via	For take away
Colpo	Shot
Perche	Because
Come	Like
Simpatico	Friendly
Vedere	To see
Tastiera	Keyboard
Come	How, like, as
Frittura	Fried
Insalata	Salad
Contorno	Sider
Frizzante	Carbonated
Dolce	Sweet, dessert
Piatto	Plate, dish
Aiutare	To help
Prenotazione	Reservation
Subito	Right away
Li	There
Tavolo	Table
Consigliare	To recommend
Suonare	To play an instrument
Mezzo	Half
Va bene	Alright
Partire	To leave
Seguente	Next
Ritornare	To return
Devere	To must
Veloce	Fast
Fuori	Outside
Treno	Train
Quindi, cosi	So
Dire	To say
Tattuaggi	Tattoos
Piú	More
Molto	A lot
Non so	I don’t know
Chiedere	To ask
Colazione	Breakfast
Ancora	Still
Oggi	Today
Bisogno	To have a need (ho bisogno – I need)
Funzionare	To function
Diestra	Right
Sinistra	Left
Uscire	To leave
Pranzo	Lunch
Cena	Dinner
Pranzare	To have lunch
Cenare	To have dinner
Buona	Good
Divertente	Fun
Noioso	Boring
Capo	Boss
Aeroporto	Airport
Centro	Downtown
Settembre	September
Amicizia	Friendship
Soldi	Money
Farei	I would do it
Mancare	To miss
Parigi	Paris
Se	If
Sucedere	To happen
Paura	Afraid
Arrabiato	Angry
Soluzione	Solution
Terribile	Terrible
Ragione	Reason
Scomodo	Uncomfortable
Folle	Crowds
Presto	Early
Politica	Politics
Provare	To try
Leggere	To read
Circa	About
Peggio	Worse
Gia	Ya, already
Sentire	To listen
Varsovia	Warsov
Regna	Queen
Cuore	Heart
Fratello	Brother
Sorella	Sister
Padre, papá	Dad
Madre, mamma	Mom
Genitori	Parents
Cugino	Cousin
Zia	Aunt
Zio	Uncle
Scrivere	To write
Vacanze	Vacations
Rinascimento	Renaissance
Astratto	Abstract
Ispirazione	Inspiration
Sentire	To feel
Museo	Museum
Dipinti	Paintings
Qualunque	Anyone
Qualcosa	Anything
Anni novanta	Nineties
Indossare	To use
Gruppo	group, band
Attraverso	Across
Scala	Scale
Lucertole	Lizard
Bosco	Forest
Galleria	Gallery
Fico	Cool
Installazione artistica	Art installation
Chiessa	Church
Recentemente	Recently
Consiglio	Recommendation
Svegliare	To wake up
Tradurre	To translate
Citazioni	Quotes
Tranquilla	Calm
Paese	Country, calm
Amichevole	Friendly
Usare	To use
Correre	To run
Poi	So, then
Pausa	Pause, break
Decider	To decide
Chi	Who (quien, quienes)
Ascoltare	To hear
Compito	Homework
Schermo	Screen
Dovere	To must
Carriera	Degree (carrier)
Via	Highway, avenue
Strada	Street
Ufficio	Office
Rimanere	To stay
Distretto Finanziero	Financial district
Indpendenza	Independence
Spiegare	To explain
Sperienza	Experience
Guardare	To watch
Guidare	To drive
Ponte	Bridge
Archittetura	Architecture
Passeggiare	To stroll
Eccellente	Excellent
Straniero	Foreigner
